OrderID,Customer_name,Email,Password,PhoneNumber,Rating,Feedback
171-9918163-5396330,chander shaker,chandershaker@gmail.com,,+1 (493) 409-3066,,
406-0556934-4608363,krishan,krishan@gmail.com,,+91(139) 139-9905,,
408-9438950-1286737,ram ji,ramji@gmail.com,,+91(391) 587-9140,,
171-1019440-1263518,jony,jony@gmail.com,,+91(338) 471-1925,,
171-3215997-9845942,mohammad ali,mohammadali@gmail.com,,+91(706) 804-6878,,
407-4313531-9038767,ashok kumar,ashokkumar@gmail.com,,+91(233) 132-6127,,
404-5545664-9871540,ravinder  bacchi,ravinderbacchi@gmail.com,,+91(261) 466-4482,,
407-4162802-9137132,guman singh basyal,gumansinghbasyal@gmail.com,,+91(282) 527-3590,,
408-3116129-2000351,amardeep,amardeep@gmail.com,,+91(901) 170-1139,,
405-4198621-5464349,bharat,bharat@gmail.com,,+91(683) 369-3852,,
403-3523206-6850756,azaz,azaz@gmail.com,,+91(883) 673-8427,,
407-0038659-0625940,raja kumar,rajakumar@gmail.com,,+91(515) 350-1270,,
406-7274364-9461111,parveen,parveen@gmail.com,,+91(665) 135-6484,,
403-0176285-9325126,mahabir prasad,mahabirprasad@gmail.com,,+91(220) 121-3873,,
407-5797861-3428325,kartik  kaku,kartikkaku@gmail.com,,+91(185) 108-1324,,
171-2167332-2298728,shubham yadav,shubhamyadav@gmail.com,,+91(891) 787-8142,,
406-5407377-2423541,madan,madan@gmail.com,,+91(558) 485-6426,,
406-2093090-0448363,rashid,rashid@gmail.com,,+91(714) 346-1803,,
404-5621888-1216352,jitender,jitender@gmail.com,,+91(213) 705-9816,,
402-6797751-2261148,pawan kumar,pawankumar@gmail.com,,+91(448) 669-8062,,
402-3666308-9956330,pintu kumar,pintukumar@gmail.com,,+91(863) 512-8464,,
403-2962411-0942717,deep,deep@gmail.com,,+91(847) 749-1522,,
407-4176879-6571509,dharmbir,dharmbir@gmail.com,,+91(140) 634-7132,,
171-1527731-1523559,rishi kakdia,rishikakdia@gmail.com,,+91(668) 592-2980,,
405-4164644-4606718,kunal  kannu,kunalkannu@gmail.com,,+91(156) 727-1023,,
406-4556619-3990733,arman ansari,armanansari@gmail.com,,+91(146) 209-7923,,
407-1408251-4150765,avinsh,avinsh@gmail.com,,+91(416) 437-3198,,
171-4997988-5760352,karan,karan@gmail.com,,+91(818) 998-1925,,
403-3750512-1998749,sagar,sagar@gmail.com,,+91(215) 986-6193,,
407-1580850-5233959,nikhil,nikhil@gmail.com,,+91(123) 546-1075,,
406-5924131-1357156,raman,raman@gmail.com,,+91(681) 115-9909,,
405-1966462-5293108,sujen manjhi,sujenmanjhi@gmail.com,,+91(507) 690-7905,,
406-0178997-7496317,abhijeet,abhijeet@gmail.com,,+91(647) 442-7515,,
407-9554545-5274738,anshu,anshu@gmail.com,,+91(846) 889-3554,,
407-7926766-7601961,sahil,sahil@gmail.com,,+91(108) 218-6073,,
402-2565236-1201945,aditya som,adityasom@gmail.com,,+91(504) 165-9368,,
405-9238979-4709912,gaurav,gaurav@gmail.com,,+91(710) 856-2034,,
408-3040375-7142738,sunil,sunil@gmail.com,,+91(607) 799-1332,,
402-0889566-3202711,ravi kumar,ravikumar@gmail.com,,+91(356) 509-8523,,
